Timestamp,Jenis kelamin ,Pekerjaan ,"Seberapa sering Anda menggunakan aplikasi ""Trans Semarang"" untuk memperoleh informasi terkait jadwal, rute, dan lokasi bus BRT secara real-time?",Seberapa andal menurut Anda informasi real-time yang disediakan oleh sistem informasi BRT Trans Semarang?,Seberapa akurat menurut Anda informasi terkait jadwal dan rute yang disediakan oleh sistem informasi BRT Trans Semarang?,"Seberapa jelas menurut Anda pengumuman suara dan visual di dalam bus terkait dengan informasi rute, halte, dan perhentian yang disediakan oleh sistem informasi BRT Trans Semarang?",Seberapa puas Anda dengan kinerja sistem informasi BRT Trans Semarang secara keseluruhan?,Seberapa besar kemungkinan Anda akan menggunakan kembali layanan bus BRT Trans Semarang di Koridor 1 berdasarkan pengalaman Anda dengan sistem informasi saat ini?
18/03/2024 12:37:38,Laki-laki,Pelajar/Mahasiswa,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
18/03/2024 12:40:50,Perempuan,Wiraswasta,Jarang,Andal,Akurat,Jelas,Puas,Besar
18/03/2024 12:52:06,Perempuan,Karyawan swasta,Sering,Andal,Akurat,Jelas,Puas,Sangat besar
18/03/2024 12:54:02,Laki-laki,Karyawan swasta,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
18/03/2024 12:59:10,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:00:43,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:01:07,Perempuan,Pelajar/Mahasiswa,Sering,Netral,Akurat,Jelas,Puas,Besar
20/03/2024 14:01:32,Laki-laki,Karyawan swasta,Kadang-kadang,Andal,Sangat akurat,Jelas,Puas,Sangat besar
20/03/2024 14:02:26,Laki-laki,Karyawan swasta,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
20/03/2024 14:02:55,Perempuan,Wiraswasta,Kadang-kadang,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:03:45,Perempuan,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:04:11,Laki-laki,Wiraswasta,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:04:33,Laki-laki,Pelajar/Mahasiswa,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
20/03/2024 14:05:29,Laki-laki,Wiraswasta,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:05:52,Laki-laki,Pelajar/Mahasiswa,Sering,Sangat andal,Sangat akurat,Netral,Puas,Sangat besar
20/03/2024 14:06:14,Perempuan,Karyawan swasta,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:06:58,Perempuan,Pelajar/Mahasiswa,Sangat sering,Netral,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
